target_id,LB_I_3H_4,LB_NI_3H_3,DM_NI_24H_1,LB_NO_0H_2,DM_I_24H_1,LB_NI_24H_1,LB_I_3H_5,LB_NI_3H_2,LB_I_9H_1,LB_I_6H_1,LB_I_48H_1,LB_NO_0H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_6H_2,LB_I_24H_4,LB_I_9H_2,DM_NI_48H_5,LB_NI_3H_1,DM_I_48H_5,LB_NI_9H_5,LB_NI_6H_5,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_NI_48H_5,LB_NI_24H_3,DM_NI_48H_4,LB_I_24H_5,LB_I_6H_3,LB_I_9H_3,LB_NI_9H_4,LB_NI_6H_4,DM_I_48H_4,LB_NO_0H_1,DM_I_24H_2,LB_I_48H_3,DM_NI_24H_2,LB_NI_24H_4,LB_NI_48H_2,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_9H_3,LB_NI_6H_3,DM_NI_48H_3,LB_I_6H_4,LB_I_24H_2,LB_I_9H_4,LB_NI_24H_5,LB_NI_48H_3,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,DM_I_48H_2,LB_I_3H_1,LB_NI_9H_2,LB_NI_6H_2,LB_I_24H_3,LB_I_6H_5,LB_I_9H_5,DM_NI_48H_2,LB_NO_0H_4,LB_NI_3H_5,DM_NI_48H_1,LB_NI_6H_1,LB_NI_9H_1,DM_I_48H_1,LB_I_3H_2,LB_NI_48H_1,LB_NO_0H_5,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,0.0,0.00622792,0.0,0.0,0.502741,0.0,0.0,0.0,0.519327,0.0,2.02786,0.0,1.0,0.503875,0.25,2.00396,0.0,0.0,0.452818,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.48174,0.0,0.230313,0.0,0.501889,0.0,0.200487,0.0670364,0.0,0.0,2.0,1.0,2.53016,0.154483,0.0,0.0,0.0,0.0,2.5,0.0,2.05356,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,0.0,0.0,0.0,2.0,0.502741,0.0,0.0,0.0,0.244752,1.0,0.0,0.0,0.0,0.503875,0.25,0.0,0.0,0.0,0.0,1.20518,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.3401,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.775459,0.0,0.501889,0.0,0.200487,0.87323,0.0,0.0,2.0,0.0,0.0,0.154483,0.0,0.0,0.0,0.0,2.0,0.0,0.00624143,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,0.0,0.0,0.0,2.46196,1.40455,2.259,3.54783,2.04619,1.00836,0.0,6.71261,3.25263,1.01755,1.15972,4.71619,5.47512,1.01238,4.4253,5.10512,63.2123,6.15541,3.05649,2.93688,4.80892,3.3858,3.18923,31.7275,0.0,1.16886,0.0,7.24668,4.61727,1.69295,6.6842,5.41216,0.0,5.12562,0.0,3.32287,0.0,0.0,1.3499,0.0,2.54535,2.36259,1.54223,1.02158,0.0,2.31511,4.51108,2.18996,3.08907,1.19523,1.65862,1.17293,6.78447,0.0,2.03659,1.12045,1.27372,2.87701,2.56705,16.9853,2.01624,0.0,0.0,3.04726,1.75498,0.0,4.59393,6.15927,1.20488,0.0,5.03909
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,0.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,10.0,0.0,1.0,2.0,2.0,6.85703,0.0,4.00573,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,3.0,1.0,2.0,2.00462,0.0,3.0,1.0,1.0,0.0,1.0,2.25,1.0,2.0,2.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.33057,2.0,1.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,3.0,0.0,0.5,7.0,7.0,9.56222,4.56004,2.0,2.0,0.0,15.9373,5.71429,5.0,7.0,4.0,7.0,3.0,2.0,10.0,2.0,7.40778,5.0,2.0,6.0,7.0,7.79886,21.8335,3.33206,4.01329,1.00346,3.14852,18.2183,3.0,5.55618,3.0,1.5,2.0,2.0,4.39915,4.0,3.0,3.0,4.2,5.43058,5.0,1.0,4.01321,5.0,4.0,5.54606,4.5,1.0,5.83304,3.3607,3.0,3.75834,6.0,5.0,4.0,4.0,5.27664,6.0,14.6431,3.0,0.0,0.0,5.71382,0.0,2.0,7.0,5.0,12.5714,2.02576,4.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,1.0,1.0,3.0,3.0,1.0,6.0,4.0,1.0,5.0,1.0,5.0,2.0,1.0,2.0,2.0,3.00594,2.0,0.0,7.00699,0.0,3.0,5.17857,5.0,1.0,2.0,4.0,6.0,3.0,2.0,3.0,2.00383,2.0,3.0,2.00286,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,1.05263,1.0,3.0,2.0,2.0,1.00231,2.0,3.0,1.0,2.0,6.0,2.0,5.0,2.0,8.0,5.0,6.00767,1.0,1.0,0.0,3.0,6.0,0.0,3.0,1.49018,6.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,0.0,0.5,1.0,0.0,2.39835,0.0,0.0,0.0,2.0,0.0,2.20993,0.0,0.0,1.142,0.0,0.0,0.0,0.0,0.0,4.2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.09979,0.00159502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.14231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,1.0,0.0,0.0,0.0,2.0,1.33507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.00299,1.0,4.0,1.0,2.0,0.0,0.0,1.33333,4.56663,0.0,1.0,0.0,2.00383,5.0,0.0,1.00143,1.0,0.0,0.0,2.0,2.01843,1.0,1.0,2.0,1.49537,0.0,2.2,1.0,1.0,0.0,0.0,1.0,1.32536,1.00231,2.5,2.0,1.0,0.0,1.00719,0.0,1.2,0.0,1.0,0.0,3.50789,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0618,4.0,0.0,1.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,0.0,0.0,1.0,0.0,3.0,4.00427,1.0,0.0,0.0,1.0,2.00517,2.0,1.0,0.0,2.0,6.01187,3.03884,2.0,3.01665,1.0,3.0,2.0,3.0,1.0,1.0023,0.0,6.0,0.0,3.0,1.0,2.00383,5.01789,1.0,0.0,1.0,0.0,3.05522,1.00714,1.0,0.0,0.0,1.0,1.0,0.0,1.01266,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.00358,1.0,0.0,4.0,1.0,3.0,3.00664,1.0,3.0,3.0,5.0255,0.0,0.0,1.0,2.0,2.0214,1.0,3.0,2.0,6.0,2.0,1.01369
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,0.0,1.04452,1.0,0.0,0.0,0.0,0.0,1.03897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.662702,0.0,1.00945,0.0,0.0,0.0,2.00459,0.0,3.0,0.0,0.0,0.0,0.000444335,3.01073,0.0,1.00143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
