target_id,DM_I_24H_2,LB_NO_0H_1,DM_NI_24H_2,LB_I_48H_3,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,DM_NI_48H_4,DM_I_48H_4,LB_NI_6H_4,LB_NI_9H_4,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_3,LB_I_48H_2,DM_NI_24H_3,LB_NI_3H_1,DM_NI_48H_5,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_6H_5,LB_NI_9H_5,DM_I_48H_5,LB_NI_24H_2,LB_NI_48H_4,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_I_6H_1,LB_I_9H_1,LB_NI_3H_2,LB_NI_24H_1,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_3H_4,LB_I_24H_1,LB_I_3H_3,LB_NO_0H_5,LB_NI_48H_1,DM_NI_48H_1,LB_NI_3H_5,LB_I_3H_2,DM_I_48H_1,LB_NI_9H_1,LB_NI_6H_1,LB_NO_0H_4,LB_NI_6H_2,LB_NI_9H_2,LB_I_3H_1,DM_I_48H_2,DM_NI_48H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,LB_I_48H_5,DM_NI_24H_4,DM_I_24H_4,LB_NI_48H_3,LB_NI_24H_5,LB_NI_6H_3,LB_NI_9H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,DM_NI_48H_3,DM_NI_24H_5,LB_I_48H_4,DM_I_24H_5,LB_NI_48H_2,LB_NI_24H_4
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,0.0,1.04909,0.0,0.0,2.1211,2.06559,3.03096,0.0,0.0,0.0,1.05288,3.8684,11.5365,4.27737,2.18341,1.19176,7.22551,1.05045,0.0,0.0,1.25028,3.02533,3.66243,0.0,1.56402,1.11279,0.195502,1.29467,7.37225,0.0,0.0,0.0,3.08473,3.31005,1.03664,1.43157,0.0,0.0,2.04259,4.04406,2.04233,5.22398,3.08777,0.0,0.0,10.2361,2.06596,3.02368,0.0,14.2009,0.0,0.0,4.1638,0.0,19.2728,0.0,1.01869,0.0,0.0,2.03488,0.0,2.29314,1.1319,2.1261,0.0,3.10412,1.08655,8.005,0.0,0.0,0.0,0.00123777,1.7708,3.06293
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28632,0.0,2.07006,20.6866,18.5997,0.0,0.0,0.0,0.0,0.0,1.03529,0.0,1.26757,1.50404,2.42338,0.0,1.38781,0.0,0.968151,0.0,2.72615e-06,1.03803,1.22522,0.0,0.0,0.0,0.0,2.89353,0.0,0.0,6.66807e-07,0.0,0.0,0.0,1.03544,1.20386,1.12521,7.04636,2.06908,3.02431,0.0,4.48593,1.06657,0.0,4.18191,0.0,13.1073,0.0,0.0,0.0,2.36555,0.0,0.0,0.0,0.0,0.0,2.00365,0.0,0.0,7.58962,0.0,0.0,0.0,1.15464,1.76892,0.000634547
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,75.1493,1142.16,57.4206,329.332,527.485,285.008,526.212,185.749,127.096,177.529,417.652,3779.85,453.095,67.623,369.708,63.6637,473.109,188.858,67.0847,110.432,403.625,398.643,495.251,3722.77,245.19,125.645,292.875,219.828,266.871,376.464,114.339,259.634,517.577,123.447,208.966,194.859,140.687,294.217,88.5244,746.857,363.137,1034.98,797.059,177.023,51.5288,70.7149,251.835,440.68,70.6793,2897.09,110.862,260.867,437.67,191.499,495.516,468.154,319.829,184.707,107.819,640.342,202.923,591.124,230.465,235.733,150.672,344.322,280.19,353.926,246.849,351.07,157.462,91.9641,85.0952,220.071
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,34.0536,176.168,22.0045,73.014,54.0221,71.0106,83.007,51.0054,107.047,93.0644,170.021,90.0533,105.03,49.0057,58.0171,115.127,114.129,71.0108,50.0185,66.02,87.0234,71.0103,93.4096,13.0,71.006,34.02,120.035,74.0211,51.0558,47.0106,73.0175,52.0152,87.0049,72.1268,85.0098,93.5618,25.0051,89.0547,39.2792,159.038,80.0212,142.34,121.018,13.0135,39.0132,10.0453,49.023,101.027,28.0042,301.399,76.0249,82.0,81.0315,60.01,73.0295,123.027,78.0055,74.0095,110.043,64.0261,94.0566,73.0795,98.0,75.0393,54.0056,84.0118,95.0245,52.0107,47.0222,27.0103,56.075,57.0401,81.0403,76.0348
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,73.0,219.0,50.0,137.0,98.0,120.0,111.533,69.056,166.379,106.0,312.593,157.707,175.26,90.1046,100.927,152.0,235.488,126.932,88.0,97.0,129.646,124.0,159.0,34.013,85.0,62.0,181.524,145.0,92.0,73.4763,155.0,101.242,218.0,74.6886,147.0,144.667,38.0,138.693,70.2007,225.0,148.102,131.572,192.0,41.7017,70.0,13.0,97.8389,132.0,62.0,404.557,109.0,150.0,144.0,105.542,129.517,175.701,106.911,158.238,191.525,116.0,143.0,157.527,139.0,127.655,83.0,131.0,136.989,112.0,62.253,43.0,89.0,80.0,101.443,89.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,28.0479,113.451,29.0316,72.2948,39.0357,57.0171,52.0164,35.0176,85.1024,31.0865,133.592,97.0973,110.095,43.067,53.1742,73.1105,82.6952,53.197,36.086,58.2086,65.0259,67.9054,76.0112,90.0472,77.0347,15.0136,90.0587,53.0466,42.0797,39.0424,57.0568,31.0211,102.092,29.0816,87.0513,58.6321,22.0279,73.5358,27.0878,103.053,68.7244,70.3671,90.0546,18.0186,38.0817,8.06615,28.0364,48.0335,26.0379,196.056,43.0603,53.0406,90.2077,47.0196,48.0552,66.0883,48.0225,77.0233,80.0792,48.1409,57.0867,62.1068,58.0469,74.2915,36.0076,55.0283,52.0342,51.0397,30.0923,21.1463,39.0787,50.1578,67.4233,43.0465
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,8.8503,163.319,10.5965,32.5014,58.0897,19.5399,19.4377,29.8858,41.995,17.9004,62.2112,33.1515,25.8823,20.6751,62.025,13.0483,55.2916,57.6703,28.8112,41.2389,6.02024,35.2308,33.4064,1690.64,20.2959,15.2296,25.9896,87.2113,53.5566,17.7234,40.1409,20.9741,10.0266,16.649,49.9057,52.0926,25.2734,37.4987,20.0823,69.0395,33.5071,135.285,39.1422,19.6294,30.6653,5.52288,12.7297,14.5905,4.54998,275.184,11.3676,8.23176,67.0905,31.9948,14.3329,42.5134,10.559,46.1077,27.649,39.5448,44.03,29.5691,33.0239,21.5658,0.000360391,25.5333,78.7212,34.1319,46.2587,9.60077,43.0213,40.2,26.1821,23.8814
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,23.0858,50.0972,18.0196,32.8415,28.072,42.0318,31.0667,25.0511,47.1467,33.2063,62.0499,70.2695,53.0095,20.041,41.4213,50.1433,64.1147,42.9594,19.0622,36.0245,52.8787,37.0186,57.5449,17.045,31.0402,17.1048,56.0914,21.6511,34.1576,27.1259,37.5831,22.0417,77.332,30.1098,47.0623,58.5778,20.1192,51.4165,12.3439,79.2383,34.2931,44.3144,62.0891,14.0145,24.4551,0.0,21.2435,52.8359,28.0929,129.368,32.0653,40.9598,46.6272,41.1315,58.2096,45.1159,35.0357,54.0163,47.1433,37.0571,35.8229,45.0886,45.1441,50.0942,42.3499,44.103,41.0671,22.0414,24.1737,14.1107,20.0564,27.1741,36.1752,30.0456
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,25.1514,150.974,15.0667,62.2945,30.0543,40.0476,40.2156,43.0669,51.3005,21.0582,65.0469,51.1286,84.3761,19.0778,51.5725,48.2927,46.177,33.0584,20.1213,29.0431,48.9702,25.0466,6.41716,3.01222,33.0735,11.1053,37.1603,56.4327,38.2425,49.384,17.1531,50.802,28.1273,38.1851,240.313,49.8854,21.0467,86.9117,46.1119,52.1208,44.1706,66.7165,60.1604,26.0464,27.1737,7.14269,17.4131,50.0508,11.0232,232.468,19.0684,16.0181,28.0708,36.1175,98.399,32.1062,77.2664,35.0248,42.3659,36.1213,53.8128,44.1705,42.1727,32.714,12.0291,34.0789,31.0571,45.1538,43.2514,22.2193,20.0933,29.1174,63.3247,18.0435
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,18.1952,47.3999,12.1177,24.1466,27.4476,32.1578,15.0227,14.0452,32.2974,21.2228,50.052,56.2627,37.2236,25.1191,27.1409,42.2421,44.261,27.0911,24.1681,17.0253,32.1666,24.2156,55.2587,7.04451,24.0737,27.113,50.1928,17.1487,22.689,18.1262,29.2635,24.3257,72.3273,19.0777,38.1127,55.0227,14.0311,14.6305,15.3836,49.1696,24.0899,35.5603,46.5536,15.0657,18.2522,7.04229,21.1556,32.349,14.048,91.1353,20.2506,27.0573,32.1956,31.1278,28.3921,49.2523,20.0539,30.0213,40.3733,24.1157,32.2162,30.3222,37.3888,25.1836,18.0207,33.1786,34.0845,30.1909,20.1681,7.05774,21.1322,19.315,18.2266,17.0546
