target_id,LB_NO_0H_5,LB_I_3H_3,LB_NI_3H_4,LB_I_24H_1,LB_NI_48H_1,LB_NO_0H_4,LB_I_3H_2,DM_I_48H_1,LB_NI_9H_1,LB_NI_6H_1,DM_NI_48H_1,LB_NI_3H_5,DM_I_24H_4,LB_I_48H_5,DM_NI_24H_4,DM_NI_48H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,LB_NI_6H_2,LB_NI_9H_2,LB_I_3H_1,DM_I_48H_2,LB_NI_24H_5,LB_NI_48H_3,DM_I_24H_5,DM_NI_24H_5,LB_I_48H_4,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,DM_NI_48H_3,LB_NI_6H_3,LB_NI_9H_3,LB_NI_24H_4,LB_NI_48H_2,DM_I_48H_4,LB_NI_6H_4,LB_NI_9H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,DM_NI_48H_4,DM_NI_24H_2,LB_I_48H_3,DM_I_24H_2,LB_NO_0H_1,LB_NI_48H_5,LB_NI_24H_3,LB_NI_6H_5,LB_NI_9H_5,DM_I_48H_5,LB_NI_3H_1,DM_NI_48H_5,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_I_48H_2,DM_NI_24H_3,DM_I_24H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_6H_1,LB_I_9H_1,LB_NI_3H_2,LB_I_3H_5,LB_NO_0H_3,LB_I_48H_1,LB_NI_24H_1,LB_NI_3H_3,LB_I_3H_4,DM_I_24H_1,LB_NO_0H_2,DM_NI_24H_1
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,5.64034,1.11055,3.7316,2.11514,2.11025,7.68878,12.9853,0.0,7.27992,0.0,0.0,1.07427,1.05739,0.0,0.0,27.1429,0.0,0.0,2.23841,1.03864,0.0,2.47271,0.0,1.09423,0.0,1.7327,0.0,0.0,0.0,0.0,9.45907,0.0,0.0,0.0,0.0,1.20971,0.0,0.0,0.0,2.1232,0.0,0.0,2.07974,0.0,0.0,0.0,0.0,25.2024,11.8643,0.0,0.0,0.0,0.0,1.58162,0.0,0.0,1.28095,1.57227,0.0,0.0,2.07699,0.0,0.0,1.11649,0.0,0.0,1.10286,0.0,0.0,0.0,0.0,0.0,1.39379,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,0.0,0.0,0.0,0.0,2.09417,8.5065,7.13312,1.49776,6.2293,0.0,2.31216,2.13907,0.0,2.29168,1.34909,17.6959,0.0,0.0,0.0,1.04458,0.0,7.1522,1.03654,0.0,1.83109,1.72816,0.0,0.0,0.0,0.0,8.70346,2.12433,0.0,1.05263,0.0,1.20871,2.20609,0.0,2.16133,0.0,1.08485,0.0,0.0,0.0,0.0,1.07821,0.0,31.6413,42.8722,1.03438,3.06264,1.06621,1.0513,0.0,0.0,0.0,1.28992,3.08325,0.0,0.0,1.10165,2.81995,2.05821,1.15485,1.26677,0.000479559,0.0,1.05736,1.27973,0.0,0.0,0.0,3.94137,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,1227.89,454.415,134.871,940.285,1009.28,3453.27,78.5445,335.357,565.191,101.17,215.263,98.4802,308.075,176.501,747.094,587.406,588.37,397.023,291.961,155.746,329.34,523.532,260.099,310.338,736.269,131.757,420.541,224.434,401.571,356.122,417.648,306.181,310.562,217.359,280.033,146.305,206.973,220.369,698.434,619.157,351.79,638.825,272.733,97.1808,425.636,118.02,1399.23,607.784,5171.84,498.872,617.509,6233.46,615.588,297.106,107.891,196.665,479.552,497.604,110.445,122.296,167.193,300.718,450.407,186.332,349.732,393.96,376.363,438.78,661.667,374.986,188.673,283.344,322.331,154.631
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,63.143,0.0,0.0,6.0043,4.0,11.0342,0.0,0.0,0.0,0.0,0.0,0.0,4.00176,1.00104,0.0,4.00598,5.0047,1.0,2.0,14.0,1.0,3.00182,3.00159,0.0,2.00307,1.002,2.00197,0.0,2.00135,2.00087,2.00182,0.0,0.0,0.0,19.0524,4.01259,2.00675,0.0,1.0,1.00057,2.0018,1.0,1.00073,1.00139,0.0,1.01072,24.3953,2.00251,2.00108,1.00055,0.0,0.0,4.01273,4.00251,0.0,1.0,2.00105,1.0007,0.0,2.00245,2.00398,1.00096,6.00407,1.0,1.00207,2.00921,4.00452,6.00494,0.0,0.0,0.0,3.0,5.07924,10.035
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,1.00563,4.03306,1.0,2.0,0.0,4.12286,0.0,8.10768,0.0,2.0,0.0,1.0,5.0,2.03198,2.0,3.02162,4.19159,0.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.01383,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.05543,1.00688,0.0,1.0,1.0,6.0,0.0,2.00992,3.0,4.0,1.00038,3.0,1.0,0.0,3.0,4.05951,1.03112,0.0,5.13021,2.0,2.0,0.0,8.0,2.01461,0.0,0.0,4.0251,0.0,3.10758,2.0,2.0,0.0,1.01723
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,0.0,0.0,1.0078,0.0,0.0,1.01711,0.0,0.0,4.04961,0.0,1.00377,0.0,1.00597,1.00724,2.02762,0.0,1.00776,0.0,0.0,0.0,0.0,31.2893,0.0,0.0,0.0,0.0,1.02338,2.0097,0.0,4.01152,8.03575,0.0,1.15084,0.0,0.0,0.0,3.02965,0.0,0.0,0.0,4.00899,3.00701,0.0,0.0,1.05331,0.0,3.03745,20.1054,0.0,0.0,3.17899,77.0541,5.2329,0.0,0.0,2.40946,4.78699,3.05859,0.0,1.0135,0.0,3.01216,0.0,0.0,0.0,0.0,0.0,2.00514,0.0,0.0,1.00429,2.0068,7.22351,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,144.899,40.0615,25.0583,90.7023,51.9371,322.498,7.33888,20.2211,17.7222,5.73413,22.8253,38.7832,53.0642,33.5737,45.7359,28.3514,35.8878,12.7613,53.7751,13.3853,9.56647,72.5422,33.8623,44.1437,28.3587,43.6009,9.20582,46.7445,28.8339,113.331,40.7378,47.3897,26.3126,9.63044,23.8637,34.4033,50.2787,19.913,61.7254,63.2778,37.1328,21.9294,35.6038,10.6703,36.4526,9.80542,178.493,32.2755,42.9719,42.7297,35.0553,1613.01,64.2965,59.5796,41.2615,49.4267,6.6212,61.9381,19.6872,22.2029,17.2907,31.4691,20.3565,42.9149,22.4435,56.4228,93.7145,29.1885,11.6469,48.7593,25.3828,51.9304,65.2529,19.3433
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,0.0,5.68021e-08,0.0,2.02935,2.02197,2.41628,0.0,0.0,4.07611,0.0,0.0,0.0,2.1584,0.0,2.02529,1.01839,0.0,0.0,0.0,0.0,1.9591e-08,1.41316,0.0,0.0,0.0,1.02732,0.0,0.0,1.01789,2.01524,1.00909,1.04118,1.12712,0.0,0.0,1.03685,0.0,0.0,0.0,0.0,0.0,1.03868,0.0,0.0,0.0,0.0,0.0,8.90685e-05,0.0,0.0,9.54932,0.0,0.0,1.00386,2.01887,1.0045,0.0,1.02671,0.0,0.0,0.0,0.0,0.0,1.04597,1.01287,2.0395,0.0,1.009,6.51573,0.0,0.0,1.01193,1.11439,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,46.5541,18.3676,35.598,0.0,19.3932,145.863,4.1234,7.61406,12.2297,4.01878,16.1179,10.2737,30.5625,16.9204,14.3971,36.0351,2.04929,57.5912,3.0639,1.02739,5.10763,6.10582,19.5826,13.3153,12.2672,13.2271,14.4673,1.02325,7.18867,4.1036,26.6151,23.7802,2.33135,0.0,9.13243,30.038,13.6842,3.06185,8.12138,10.1627,18.2299,15.693,27.4332,8.20731,32.0602,15.6713,92.4136,45.4905,2.08354,4.04344,0.0,0.0,11.3195,9.13324,1.02237,1.01929,32.486,23.0417,29.6013,4.19164,3.10652,10.2211,29.2384,1.20685,26.6669,15.4227,33.2137,5.10725,0.0,64.4069,16.2151,219.291,22.2813,26.5847
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,2.5337,0.0,0.00175064,1.03529,11.3076,8.63767,0.0,0.0,0.0,3.02519,0.0,7.73797,0.0,2.96046,2.49782,5.87258,0.0,0.0,1.37744,2.59575,0.0,3.43394,8.38388,4.6188,2.06071,2.17245,0.0,2.06858,5.37666,2.05787,2.04874,0.0,4.28039,0.0,2.04295,2.48708,1.05267,8.19638,0.0,2.0529,2.0633,0.0,0.0,1.06028,2.63587,0.0,3.30659,2.90715,3.23933,0.0,3.04578,0.0,4.18521,0.0,0.0,0.0,3.11949,4.69107,2.16183,3.17403,3.08059,0.0,6.27237,0.0,0.0,16.9576,0.0,2.06769,0.0,3.04037,0.0,1.03408,4.72636,0.0
