target_id,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_24H_1,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_NI_3H_2,LB_I_6H_1,LB_I_9H_1,LB_NI_24H_2,LB_NI_48H_4,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_3H_1,DM_NI_48H_5,DM_I_48H_5,LB_NI_6H_5,LB_NI_9H_5,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_2,LB_NO_0H_1,LB_I_48H_3,DM_NI_24H_2,DM_NI_48H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,LB_NI_6H_4,LB_NI_9H_4,DM_I_48H_4,LB_NI_48H_2,LB_NI_24H_4,LB_NI_6H_3,LB_NI_9H_3,DM_NI_48H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_48H_3,LB_NI_24H_5,LB_I_3H_1,DM_I_48H_2,LB_NI_6H_2,LB_NI_9H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,DM_NI_48H_2,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,DM_NI_48H_1,LB_NI_3H_5,LB_NI_9H_1,LB_NI_6H_1,LB_I_3H_2,DM_I_48H_1,LB_NO_0H_4,LB_NI_48H_1,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3,LB_NO_0H_5
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,0.0,1.11992,2.32675,0.0,1.0799,0.0,2.18881,1.12311,1.7896,1.21891,0.0,1.07384,0.0,2.13246,0.0,0.0,1.13904,0.0,1.02413,1.06496,2.4788,0.0,1.29633,1.0795,1.28052,18.0595,42.2728,0.0,0.0,0.0,0.0,2.11751,1.06871,2.89227,0.0,0.0,0.0,0.0,2.14315,0.0,0.0,1.03026,1.15225,0.0,0.0,10.5479,0.0,1.30601,0.0,1.45017,1.21995,0.0,0.0,2.12797,0.0,0.0,0.0,2.30856,29.5506,1.07127,0.0,1.07514,0.0,1.08372,9.98563,0.0,13.8644,0.0,6.76622,3.27192,2.15344,1.70093,0.0,3.45786
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,0.0,1.16854,5.46082,1.13732,1.08169,1.36254,1.06465,2.19936,4.73163,1.10843,2.11586,1.21235,2.66539,1.11319,0.0,0.0,4.30818,0.0,0.0,1.09288,2.18578,4.24021,3.48409,1.03825,5.296,59.1971,45.549,3.28248,1.06398,0.0,0.0,0.0,1.74997,1.46869,0.0,1.11258,1.13303,3.44498,1.15595,0.0,0.0,1.05387,2.59983,0.0,0.0,9.80695,0.0,0.0,2.16182,0.0,0.0,9.52738,1.05006,2.09445,1.0202,1.19892,0.0,0.0,30.3691,2.21611,3.07249,0.0,3.26947,2.18411,7.86356,0.0,10.52,1.04931,11.4204,3.22742,1.04107,2.2866,1.35973,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,182.93,380.804,417.697,252.746,455.215,793.896,605.592,555.062,505.085,439.509,510.096,254.123,372.222,201.385,187.431,162.288,622.218,166.733,270.843,546.648,782.866,416.051,9242.79,603.823,674.99,6682.17,771.214,161.197,1668.7,539.136,130.068,365.39,717.635,417.629,765.47,267.799,906.307,284.701,224.052,334.798,397.813,290.982,378.943,459.494,435.737,466.626,286.885,480.243,169.921,923.172,377.383,625.19,320.796,199.659,408.73,717.672,491.058,387.684,672.416,870.013,246.183,409.107,267.306,137.564,653.168,143.205,91.1341,423.003,3985.64,1242.16,1138.61,169.258,568.073,1401.96
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,0.0,1.0,2.03121,0.0,0.0,0.0,0.0,1.00045,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.00248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,0.0,0.0,1.03168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00192,6.01808,0.0,0.0,0.0,0.0,0.0,31.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01554,0.0,0.0,0.0,0.0,3.02413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,18.8393,51.4657,62.7116,26.3123,46.9113,11.7983,28.4614,85.8479,54.0098,21.873,18.8213,43.7009,28.0052,18.3872,22.0043,20.7119,58.3031,40.2717,46.4901,6.57448,59.5075,65.5132,1529.13,43.7393,30.8071,45.4974,28.871,9.62867,170.809,37.4569,10.1995,34.8986,63.7693,47.3022,23.1387,20.6063,60.934,51.8277,32.1325,23.1128,25.7338,7.93774,44.2932,27.8894,109.743,37.7442,47.5035,9.07491,43.7828,27.7883,46.5574,70.3428,31.6283,12.9762,9.5422,37.7681,15.2401,48.2428,25.6414,46.6921,31.682,40.9227,22.2784,36.6848,17.9493,6.61449,7.33538,18.2243,306.34,50.6431,92.3857,25.9209,37.8396,145.697
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,15.3244,1.01621,13.7893,6.112,55.1488,0.0,5.14044,4.66842,12.236,1.12382,13.6434,1.22432,10.5242,3.11811,2.10753,4.47444,18.9303,0.0,1.02679,17.2429,5.15353,3.04675,0.0,3.05761,0.0,2.10025,24.9994,4.24375,56.0758,8.33012,8.21175,20.3746,3.04846,0.0,14.7543,3.04661,8.14207,2.11401,9.38856,9.19584,1.19685,0.0,6.24071,7.23583,4.0839,8.23036,1.02492,0.0,10.1177,12.3015,3.11434,0.0,19.9353,0.0,5.07097,1.02369,57.8258,3.0792,6.20447,11.2697,8.47655,14.814,4.01642,8.20691,6.168,4.02202,2.06496,5.44629,18.8485,18.4233,0.0,14.711,5.12318,40.1742
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,0.0,1.0468,5.96957,0.0,6.82082,0.0,1.04442,0.0,17.0193,0.0203379,5.27148,0.0418075,0.0,3.10925,3.19837,2.20456,5.27676,0.0,0.0,3.13778,3.15834,0.0,0.0,0.0,3.04657,0.0,3.12448,0.0,2.57032,3.20918,1.06595,0.0,0.00052875,1.04204,0.0,7.66053,0.0,1.06021,2.09247,0.0,4.37109,0.0,0.0,0.0,2.04856,2.06153,1.043,0.0,3.28748,1.04234,2.53749,0.0,8.61261,0.241812,0.0,0.0,0.0,0.0,4.76267,1.85401,3.45457,0.0,0.0,7.77555,0.0,3.03665,0.0,0.0,5.92987,11.5318,0.0,3.79317e-05,0.0,2.54412
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_781876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_590025,0.0,4.06483,0.0,1.01867,1.75208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05175,2.08253,0.0,1.01497,0.0,0.0,0.0,1.01554,0.0,4.86839,1.04317,0.0,0.0,0.0,0.0,0.0,0.0,20.3955,1.73684,0.0,13.1528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05814,2.00821,0.0,0.0,11.5748,0.0,0.0,0.0,0.0,1.01866,0.0,0.0,0.0
NI_3H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_836260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51589,0.0,0.0,0.0,0.0,1.12643,0.0,0.0,0.0,0.0,0.0
