target_id,LB_I_6H_1,LB_NI_48H_5,LB_NI_6H_5,DM_NI_24H_5,LB_I_6H_4,DM_I_24H_5,LB_I_24H_3,LB_I_9H_5,LB_NI_24H_1,DM_I_48H_4,DM_NI_48H_4,LB_NO_0H_3,LB_NI_9H_1,LB_I_48H_2,LB_NI_3H_2,LB_I_3H_3,LB_NI_24H_4,DM_I_48H_1,DM_NI_48H_1,LB_NI_9H_4,LB_NO_0H_4,LB_I_3H_1,DM_NI_48H_3,LB_I_9H_2,LB_NI_3H_5,LB_I_48H_5,LB_NI_24H_3,LB_NO_0H_1,LB_I_3H_4,LB_NI_9H_3,LB_NI_48H_2,LB_I_24H_1,LB_NI_6H_2,DM_NI_24H_2,LB_I_6H_3,DM_I_24H_2,LB_I_24H_4,DM_NI_24H_3,DM_I_24H_3,LB_I_6H_2,LB_I_24H_5,LB_NI_48H_3,LB_NI_6H_3,LB_NI_24H_2,LB_I_3H_5,LB_NI_9H_2,LB_NI_3H_1,LB_I_48H_1,LB_NO_0H_5,DM_I_48H_2,DM_NI_48H_2,LB_I_9H_3,LB_NI_3H_4,LB_I_48H_4,LB_I_3H_2,LB_I_9H_1,LB_NI_24H_5,LB_NI_9H_5,LB_I_9H_4,DM_I_48H_5,DM_NI_48H_5,LB_NO_0H_2,LB_I_48H_3,LB_NI_3H_3,DM_NI_24H_4,DM_I_24H_4,LB_I_6H_5,LB_NI_48H_1,LB_I_24H_2,LB_NI_6H_1,DM_NI_24H_1,DM_I_24H_1,LB_NI_48H_4,LB_NI_6H_4
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,0.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,1.4,3.0,1.66658,0.0,0.0,2.0,1.0,0.0,5.99791,0.0,0.0,1.0,5.42691,4.23625e-05,4.0,6.0,2.0,2.4,0.0,3.51967,0.0,1.0,1.13004,0.0,1.0,0.0,2.5,0.0,0.0,0.0,1.0,1.0,0.0,2.48814,0.0,0.0,0.0,0.25,2.0,1.0,7.80012,2.0,1.11111,1.25,1.0,1.125,0.0,2.09524,0.0,0.75,2.0,0.0,1.0,5.35536,2.0,1.25,2.0,1.0,0.0,1.25,0.0,0.0,1.66667,1.0,0.0,3.55556
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,1.0,0.0,1.0,0.0,0.333333,2.76154,0.0,2.4,3.33407e-05,2.97503,0.255469,1.99997,0.0,0.916667,0.0,0.2,0.0057478,0.666667,0.0,0.0,6.26631,0.00401352,8.48659,2.96296,1.33333,3.65918e-06,0.0,2.46539,1.0,0.0,3.78019,0.0,1.25,0.555556,0.0,0.0,0.0,0.0,0.666667,0.00231847,0.333333,1.30451,1.87982e-07,0.4,1.49728e-05,0.25,1.5,0.0,11.7002,0.0,0.89625,0.625,3.3334,0.002314,0.0,0.0,1.75,0.75,0.4,0.0,0.0,8.81032e-05,1.39964,2.1875,0.0330494,0.5,0.6,1.25,0.333333,0.0,0.0,0.555556,0.0,4.14815
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,226.0,249.0,236.0,157.0,189.0,68.0,132.0,320.0,298.0,107.0,126.0,118.0,287.0,167.0,177.0,212.0,149.0,148.0,96.0,246.0,1320.0,221.0,145.0,38.0,49.0,84.0,911.0,540.0,68.0,118.0,68.0,371.0,78.0,30.0,189.0,53.0,87.0,63.0,52.0,249.0,247.0,247.0,147.0,159.0,122.0,193.0,296.0,167.0,459.0,151.0,246.0,274.0,41.0,91.0,41.0,104.0,176.0,220.0,271.0,700.0,128.0,110.0,207.0,194.0,308.0,134.0,219.0,324.0,239.0,72.0,111.0,154.0,52.0,128.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,22.0,11.0,10.0,9.0,5.0,8.0,17.0,28.0,3.0,12.0,23.0,16.0,14.0,11.0,6.0,17.0,2.0,11.0,6.0,1.0,115.0,20.0,13.0,1.0,11.0,6.0,68.0,52.0,2.0,1.0,14.0,4.0,10.0,1.0,13.0,2.0,9.0,8.0,6.0,14.0,4.0,55.0,9.0,7.0,27.0,14.0,16.0,9.0,27.0,31.0,8.0,9.0,5.0,23.0,2.0,22.0,17.0,8.0,7.0,419.0,9.0,22.0,16.0,21.0,16.0,11.0,9.0,37.0,29.0,10.0,1.0,9.0,3.0,6.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
