target_id,LB_I_24H_5,LB_I_6H_3,LB_I_9H_3,DM_NI_48H_4,DM_I_48H_4,LB_NI_9H_4,LB_NI_6H_4,LB_NO_0H_1,DM_I_24H_2,DM_NI_24H_2,LB_I_48H_3,LB_NI_48H_5,LB_NI_24H_3,DM_NI_48H_5,LB_NI_3H_1,LB_I_6H_2,LB_I_24H_4,LB_I_9H_2,LB_NI_9H_5,LB_NI_6H_5,DM_I_48H_5,DM_I_24H_3,LB_I_48H_2,DM_NI_24H_3,LB_NI_48H_4,LB_NI_24H_2,LB_I_3H_5,LB_I_9H_1,LB_I_6H_1,LB_NI_3H_2,LB_I_48H_1,LB_NO_0H_3,LB_NI_24H_1,LB_I_3H_4,LB_NI_3H_3,DM_NI_24H_1,LB_NO_0H_2,DM_I_24H_1,LB_NO_0H_5,LB_NI_3H_4,LB_I_24H_1,LB_I_3H_3,LB_NI_48H_1,LB_NO_0H_4,LB_NI_3H_5,DM_NI_48H_1,DM_I_48H_1,LB_I_3H_2,LB_NI_6H_1,LB_NI_9H_1,LB_I_48H_5,DM_NI_24H_4,DM_I_24H_4,LB_NI_9H_2,LB_NI_6H_2,DM_I_48H_2,LB_I_3H_1,DM_NI_48H_2,LB_I_24H_3,LB_I_6H_5,LB_I_9H_5,LB_NI_24H_5,LB_NI_48H_3,DM_NI_24H_5,LB_I_48H_4,DM_I_24H_5,LB_NI_9H_3,LB_NI_6H_3,LB_I_6H_4,LB_I_24H_2,LB_I_9H_4,DM_NI_48H_3,LB_NI_24H_4,LB_NI_48H_2
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,0.0,1.72428,2.14873,1.04771,2.19929,0.0,1.09504,0.0,0.0,0.0,1.19163,53.24,22.1976,1.13151,2.11731,2.14005,1.04534,0.0,1.09283,1.0841,0.0,0.0,1.16127,0.0,2.34884,0.0,1.05828,1.08085,0.0,1.22206,3.33914,3.41801,0.0,1.09827,2.17321,0.0,2.41689,2.24625,1.15926,1.07282,1.1188,0.0,2.25996,3.42448,0.0,0.0,0.0,14.9643,0.0,11.9311,2.10139,3.27972,1.10156,0.0,3.36116,0.0,1.17901,52.1461,2.27772,1.10734,0.0,0.0,1.16954,1.2324,1.06603,0.0,0.0,0.0,14.4025,0.0,0.0,0.0,1.31847,2.15101
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,0.0,1.66425,1.86845,0.0,3.44129,1.1358,2.23422,2.21995,2.30654,0.0,1.09576,68.9239,85.6271,2.48686,4.50064,2.21446,0.0,0.0,2.23905,0.208703,3.88826,0.0,6.52954,0.0,3.36022,2.16349,2.68962,2.19024,2.12692,2.25012,1.08752,1.10919,2.0945,2.73116,3.26916,0.0,3.32551,1.21662,1.16669,2.13824,1.05242,1.06703,3.33655,10.2146,1.10547,3.30644,3.11927,11.4718,0.0,13.1924,1.13537,4.43887,0.0,2.04822,0.0,1.05574,13.0117,34.4801,0.0,1.19841,3.31839,0.0,1.1428,1.09085,0.0,1.10634,1.11246,0.0,11.586,0.0,0.0,1.36934,1.31712,3.5154
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,868.575,484.148,774.652,440.384,353.467,1136.84,305.862,1898.23,196.566,161.214,626.806,870.814,7528.77,510.76,947.855,573.62,339.247,216.001,771.712,701.058,11831.0,238.021,728.653,211.471,248.071,437.104,618.125,321.542,548.56,506.425,736.416,684.375,886.073,291.07,513.679,211.024,529.695,458.217,1535.01,214.86,1316.94,656.605,1411.93,4448.06,179.51,302.675,488.474,103.462,163.416,702.497,312.949,966.884,488.875,471.468,245.397,377.463,718.397,762.864,525.518,592.134,815.367,464.014,1021.33,520.649,335.369,219.311,344.3,464.834,511.245,499.708,507.634,432.776,385.267,287.028
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00213,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,22.2742,44.4982,48.6269,34.5686,46.4047,62.5885,19.9263,164.082,10.7494,10.2916,33.9067,29.5355,62.0479,47.1933,50.9709,8.47526,37.3068,46.9372,29.5806,43.202,1399.0,21.4007,44.3236,19.7663,13.3229,31.0518,53.9876,47.243,19.2617,22.4308,28.3091,76.9922,12.7522,22.9617,43.4014,18.6641,61.2977,45.9919,126.384,24.3352,94.7456,27.5268,52.2295,304.55,36.8031,22.8737,17.2489,6.5953,7.59175,17.8214,42.6326,45.1329,38.3846,9.4827,10.4579,27.3829,69.3387,24.9856,49.0666,17.791,35.1953,44.0889,28.4149,8.8235,42.4404,39.2432,7.97903,35.5154,36.89,108.147,28.4198,45.0078,21.469,33.5112
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42716e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,14.8277,0.0,3.03319,20.2991,2.10489,8.11823,3.02681,55.8905,4.25792,8.18279,8.41656,25.1999,2.08815,2.04743,5.12618,17.2181,1.01381,0.0,0.0,1.01449,0.0,2.10835,18.8464,4.36199,3.12421,10.4543,11.2023,1.2181,13.6618,2.24913,4.11383,4.70924,0.0,6.09914,53.0936,14.2633,11.4976,0.0,39.2104,13.6475,0.0,5.12694,18.4935,18.9603,8.17738,4.02242,5.59085,1.03471,4.01598,6.11105,8.55259,9.22831,14.9038,5.03662,0.0,18.6804,0.0,6.14193,3.09345,57.7894,1.01954,3.12103,11.3317,0.0,1.02417,10.1136,0.0,0.0,7.19319,4.08902,7.16798,6.1356,9.1382,9.33084
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,0.0,1.04619,1.01776e-05,0.0,1.07522,0.0,8.14552,4.11601,0.0,0.0820796,2.18697,0.0,0.0,0.0,3.17238,3.14283,0.0,0.0,3.04686,0.0,0.0,3.21807,5.28175,2.19272,3.11676,0.0,15.8185,0.0388309,5.25799,0.0265222,1.05547,0.0,0.0,0.0,2.34666,0.0,5.95935,1.04655,2.56603,2.33442e-05,0.0,0.0,10.5822,4.30395,7.81316,0.0,0.000642523,0.0,3.03087,0.0,3.54409,1.88015,0.0,0.0,0.34842,7.49458,0.0331254,3.51432,0.0,0.0,0.0,2.14008,1.0564,0.0,1.04732,3.30439,0.0,4.33806,2.05898,2.05834,0.0,0.0,0.0,2.08166
