target_id,LB_NI_48H_3,LB_NI_24H_5,LB_I_3H_1,DM_I_48H_2,LB_NI_6H_2,LB_NI_9H_2,LB_I_9H_5,LB_I_6H_5,LB_I_24H_3,DM_NI_48H_2,DM_NI_24H_4,LB_I_48H_5,DM_I_24H_4,LB_NI_48H_2,LB_NI_24H_4,LB_NI_6H_3,LB_NI_9H_3,DM_NI_48H_3,LB_I_9H_4,LB_I_24H_2,LB_I_6H_4,LB_I_48H_4,DM_NI_24H_5,DM_I_24H_5,LB_NI_48H_1,LB_I_24H_1,LB_NI_3H_4,LB_I_3H_3,LB_NO_0H_5,DM_NI_48H_1,LB_NI_3H_5,LB_NI_9H_1,LB_NI_6H_1,LB_I_3H_2,DM_I_48H_1,LB_NO_0H_4,LB_NI_24H_1,LB_I_48H_1,LB_NO_0H_3,LB_I_3H_5,LB_NI_3H_2,LB_I_6H_1,LB_I_9H_1,DM_NI_24H_1,DM_I_24H_1,LB_NO_0H_2,LB_I_3H_4,LB_NI_3H_3,LB_NI_24H_3,LB_NI_48H_5,DM_I_24H_2,LB_NO_0H_1,LB_I_48H_3,DM_NI_24H_2,DM_NI_48H_4,LB_I_9H_3,LB_I_6H_3,LB_I_24H_5,LB_NI_6H_4,LB_NI_9H_4,DM_I_48H_4,LB_NI_24H_2,LB_NI_48H_4,DM_I_24H_3,DM_NI_24H_3,LB_I_48H_2,LB_I_9H_2,LB_I_24H_4,LB_I_6H_2,LB_NI_3H_1,DM_NI_48H_5,DM_I_48H_5,LB_NI_6H_5,LB_NI_9H_5
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1262965,1.16499,0.0,0.0,0.0,4.655,0.0,0.0,0.0,2.06691,68.4043,1.08278,2.09953,0.0,1.05632,1.23583,0.0,0.0,1.1391,1.16048,0.0,20.8919,1.05856,1.15254,0.0,2.23495,1.12379,1.06843,0.0,1.3065,0.0,0.0,19.4414,0.0,21.3469,0.0,3.57924,0.0,2.15505,2.34697,1.1151,1.22053,2.08863,1.05963,0.0,2.28023,1.19072,0.0,2.14212,37.5116,56.083,0.0,0.0,0.0,0.0,0.0,1.0598,1.23224,0.0,0.0,0.0,1.08945,0.0,2.38727,0.0,0.0,2.33086,0.0,0.0,0.0,1.08007,1.0966,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1202312,3.61076,0.0,13.2335,1.05849,0.0,2.03333,4.38649,1.21264,1.10955,40.0552,4.59526,2.32232,2.32677,3.58559,2.27263,0.0,1.19526,2.79916,0.0,0.0,12.9489,0.0,1.08647,1.11584,2.23497,1.0556,2.16137,1.08286,2.33049,3.32464,0.0,14.0007,0.0,14.6209,2.07522,11.9717,3.07181,2.17212,3.3697,2.75157,2.48607,2.82322,5.42858,0.0,1.25216,3.32813,2.28825,3.37259,90.4895,83.4562,2.37543,1.14369,2.43076,0.0,0.0,4.84819,1.13259,1.62122,2.27849,1.12404,3.42805,2.18786,3.46464,0.0,0.0,8.4234,0.0,0.0,2.25245,5.77716,3.88988,3.975,0.211389,4.48336
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1216752,1038.71,481.921,751.498,384.732,241.829,486.839,832.511,613.137,548.04,773.635,985.416,325.547,490.734,303.404,394.308,479.916,351.72,440.348,505.289,517.676,520.357,345.382,524.209,224.818,1455.45,1352.34,217.6,670.985,1553.88,311.554,187.211,711.865,171.059,105.259,497.432,4518.74,904.928,760.324,714.277,636.062,522.431,556.227,335.568,220.81,476.661,546.04,304.261,532.189,7602.75,886.05,202.92,1960.24,640.685,169.577,464.467,775.347,496.962,900.313,315.441,1180.38,366.48,442.692,256.52,243.772,233.76,754.071,230.538,354.499,568.975,963.998,526.375,12507.3,718.313,784.819
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1199477,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1241264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1261418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00598,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_1344881,33.8181,44.4686,68.7598,28.6956,11.1823,11.5905,32.692,19.3467,50.0645,30.6708,45.8872,45.0232,42.1966,32.9182,21.7404,35.3241,16.397,44.3597,24.8347,109.131,39.975,54.7259,10.5458,39.4208,60.2251,55.8472,23.4529,25.9461,123.326,22.7249,33.2794,18.8774,8.67156,6.43284,19.6215,310.004,12.7304,28.4818,72.1535,63.1038,22.776,20.5279,43.0393,17.6532,47.2596,60.2702,24.7891,39.9976,69.5356,34.5621,10.6498,149.836,34.6316,11.3203,32.8027,47.5165,44.466,21.5319,16.0377,66.7693,45.2716,28.2226,13.4247,21.1688,22.1827,44.2184,43.5673,41.9097,9.7978,47.2067,47.4888,1355.68,42.9675,30.7427
NI_24H_3_CKDL230008524-1A_H5HLYDSX7_L2_2_866563,0.0,0.0,0.0,0.0,0.0,2.53339e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI_24H_2_CKDL230008524-1A_H5HLYDSX7_L2_2_938146,11.2333,2.07131,0.0,18.3806,0.0,5.0179,1.02121,57.6477,3.21932,6.13847,5.09008,8.57318,14.7904,9.34598,8.1249,0.0,0.0,6.13918,7.14566,4.0776,7.15743,1.02369,0.0,8.08004,18.3928,0.0,14.693,5.09522,39.4767,3.03529,3.0645,3.0,4.01735,1.03559,5.56879,18.665,0.0,4.16282,4.70245,11.1113,2.24382,13.6666,0.0,14.3992,0.0,11.4986,6.06877,52.169,1.06048,20.8431,1.07552,53.7835,7.28663,7.16841,20.3725,3.02986,0.0,13.7727,3.02131,8.09098,2.08716,10.1894,3.10754,2.1283,4.42516,18.8798,0.0,1.01408,14.4513,4.12774,1.01327,0.0,1.019,0.0
NI_24H_4_CKDL230008524-1A_H5HLYDSX7_L2_2_936337,1.06346,2.14601,0.000952675,7.53683,0.0541963,0.0,0.0,0.0,0.0,2.09987,1.88162,3.58209,0.0,2.10288,0.0,4.34945,0.0,0.0,0.0,2.05989,2.06895,1.05389,0.0,2.23757,10.6062,0.0,9.91085e-05,0.0,2.60711,0.0,5.71814,0.0,3.04041,0.0,0.00256948,4.32372,0.0,1.08796,0.0,0.431211,0.0157347,5.3159,0.0144661,0.0,1.05918,5.45505,0.0,2.36315,0.0,0.0,0.0,4.1439,2.17127,0.060068,0.0,1.12239e-06,1.03794,0.0,1.02583,0.0,1.06985,0.0,3.11195,3.243,1.11863,5.32071,0.0,0.0,3.13444,3.21359,0.0,0.0,0.0,3.04404
